Tetrodes,Standard_condition,,,Amp_205_uV,,,Bio_Noise_15_uV,,,Rate_20_Hz,,,Common_Noise_2.85_uV,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,1,2,0,4,4,3,4,4,4,4,4,4
5,5,5,5,0,0,0,4,4,2,5,5,5,5,5,5
6,6,4,4,0,0,0,3,3,3,4,3,3,6,5,6
7,5,4,3,0,0,0,2,2,3,3,4,3,7,7,6
8,3,3,4,0,0,0,1,2,1,2,2,2,7,7,6
9,2,2,1,0,0,0,1,1,1,3,1,2,7,7,7
10,0,1,0,0,0,0,0,0,0,0,0,0,7,8,8
11,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5
12,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3
